new_cust,num_indicators
CBD-Secretariat,2
CITES,1
DESA Population Division,3
DESA/FFDO,1
FAO,21
ICAO,1
IEA,3
ILO,13
IMF,4
IOC-UNESCO,2
IOM,2
IPU,2
IRENA,3
ITC,4
ITF-OECD,1
ITU,5
IUCN,5
National Gov.,1
OECD,18
OECD Development Centre,1
OHCHR,4
PARIS21,3
Ramsar,1
UN-DOALOS and other UN-Oceans members,1
UN-Habitat,10
UN Women,6
UNAIDS,1
UNCCD,1
UNCTAD,8
Under discussion among agencies (ILO,1
UNDP,7
UNDRR,5
UNECE,1
UNEP,21
UNEP-CTCN,1
UNEP-WCMC,4
UNESCO,1
UNESCO-IHP,1
UNESCO-UIS,14
UNFCCC,3
UNFPA,4
UNHCR,1
UNICEF,18
UNIDO,6
UNODA,1
UNODC,16
UNSD,10
UNWTO,2
WHO,35
WHO-FCTC,1
WHO),1
World Bank,21
WTO,5
NA,1
