goal,pending data availability review,Tier I,Tier II,Tier I/II depending on indice,Tier I (ODA)/Tier II (FDI)
1,0.15384615384615385,0.23076923076923078,0.6153846153846154,,
2,0.07142857142857142,0.5714285714285714,0.35714285714285715,,
3,0.03571428571428571,0.8928571428571429,0.07142857142857142,,
4,0.08333333333333333,0.25,0.5833333333333334,0.08333333333333333,
5,,0.2857142857142857,0.7142857142857143,,
6,,0.6363636363636364,0.36363636363636365,,
7,0.16666666666666666,0.8333333333333334,,,
8,,0.5,0.5,,
9,,0.8333333333333334,0.16666666666666666,,
10,0.21428571428571427,0.2857142857142857,0.42857142857142855,,0.07142857142857142
11,0.07142857142857142,0.14285714285714285,0.7857142857142857,,
12,0.15384615384615385,0.23076923076923078,0.6153846153846154,,
13,0.5,,0.5,,
14,,0.5,0.5,,
15,0.14285714285714285,0.5714285714285714,0.2857142857142857,,
16,0.041666666666666664,0.2916666666666667,0.6666666666666666,,
17,0.125,0.625,0.25,,
